id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,64,30,39,48,187,ship,baseline,monotonic-signal
g002,lineage depth,54,24,45,86,187,ship,edge,drag-penalty
g003,partition skew,52,23,29,78,242,ship,recovery,confidence-floor
g004,quality gap,99,25,22,24,359,ship,negative,lane-boundary
g005,schema drift,38,29,41,44,64,hold,baseline,monotonic-signal
g006,lineage depth,55,33,10,59,321,ship,edge,drag-penalty
g007,partition skew,67,73,38,28,207,ship,recovery,confidence-floor
g008,quality gap,76,25,12,103,475,ship,negative,lane-boundary
g009,schema drift,40,39,21,59,212,ship,baseline,monotonic-signal
g010,lineage depth,114,48,6,84,642,ship,edge,drag-penalty
g011,partition skew,110,55,42,58,401,ship,recovery,confidence-floor
g012,quality gap,112,26,20,50,474,ship,negative,lane-boundary
g013,schema drift,72,14,18,50,312,ship,baseline,monotonic-signal
g014,lineage depth,56,46,32,98,306,ship,edge,drag-penalty
g015,partition skew,95,29,40,40,289,ship,recovery,confidence-floor
g016,quality gap,74,58,25,102,433,ship,negative,lane-boundary
g017,schema drift,67,40,40,51,210,ship,baseline,monotonic-signal
g018,lineage depth,67,34,7,30,327,ship,edge,drag-penalty
g019,partition skew,115,33,13,67,562,ship,recovery,confidence-floor
g020,quality gap,54,70,38,47,190,ship,negative,lane-boundary
g021,schema drift,71,21,10,85,425,ship,baseline,monotonic-signal
g022,lineage depth,39,34,40,77,144,watch,edge,drag-penalty
g023,partition skew,71,43,14,23,303,ship,recovery,confidence-floor
g024,quality gap,46,50,24,43,200,ship,negative,lane-boundary
g025,schema drift,37,64,30,58,178,ship,baseline,monotonic-signal
g026,lineage depth,36,66,14,27,194,ship,edge,drag-penalty
g027,partition skew,83,34,7,102,535,ship,recovery,confidence-floor
g028,quality gap,66,21,26,58,271,ship,negative,lane-boundary
g029,schema drift,61,52,37,83,277,ship,baseline,monotonic-signal
g030,lineage depth,106,35,23,57,458,ship,edge,drag-penalty
g031,partition skew,88,29,39,49,284,ship,recovery,confidence-floor
g032,quality gap,105,28,6,49,516,ship,negative,lane-boundary
g033,schema drift,95,30,33,97,439,ship,baseline,monotonic-signal
g034,lineage depth,93,34,27,39,349,ship,edge,drag-penalty
g035,partition skew,52,38,5,101,423,ship,recovery,confidence-floor
g036,quality gap,79,8,45,50,199,ship,negative,lane-boundary
g037,schema drift,96,30,17,29,387,ship,baseline,monotonic-signal
g038,lineage depth,108,44,25,66,483,ship,edge,drag-penalty
g039,partition skew,117,53,10,46,563,ship,recovery,confidence-floor
g040,quality gap,81,60,25,84,427,ship,negative,lane-boundary
g041,schema drift,67,31,34,76,281,ship,baseline,monotonic-signal
g042,lineage depth,63,19,40,22,115,watch,edge,drag-penalty
g043,partition skew,65,51,23,42,280,ship,recovery,confidence-floor
g044,quality gap,113,34,37,57,415,ship,negative,lane-boundary
g045,schema drift,97,63,25,26,378,ship,baseline,monotonic-signal
g046,lineage depth,48,45,41,101,234,ship,edge,drag-penalty
g047,partition skew,115,39,9,57,568,ship,recovery,confidence-floor
g048,quality gap,108,38,15,82,559,ship,negative,lane-boundary
g049,schema drift,108,75,41,56,414,ship,baseline,monotonic-signal
g050,lineage depth,68,26,34,48,224,ship,edge,drag-penalty
g051,partition skew,95,39,11,48,460,ship,recovery,confidence-floor
g052,quality gap,112,48,22,96,578,ship,negative,lane-boundary
g053,schema drift,80,55,8,38,411,ship,baseline,monotonic-signal
g054,lineage depth,112,69,24,100,597,ship,edge,drag-penalty
g055,partition skew,87,71,33,49,352,ship,recovery,confidence-floor
g056,quality gap,78,39,18,28,317,ship,negative,lane-boundary
g057,schema drift,77,26,12,65,404,ship,baseline,monotonic-signal
g058,lineage depth,36,57,32,45,131,watch,edge,drag-penalty
g059,partition skew,107,40,30,83,484,ship,recovery,confidence-floor
g060,quality gap,102,34,44,75,372,ship,negative,lane-boundary
g061,schema drift,59,33,10,21,261,ship,baseline,monotonic-signal
g062,lineage depth,41,35,37,41,96,hold,edge,drag-penalty
g063,partition skew,58,39,10,56,333,ship,recovery,confidence-floor
g064,quality gap,48,43,19,25,190,ship,negative,lane-boundary
g065,schema drift,46,13,25,100,272,ship,baseline,monotonic-signal
g066,lineage depth,93,35,8,56,479,ship,edge,drag-penalty
g067,partition skew,32,49,22,81,229,ship,recovery,confidence-floor
g068,quality gap,49,58,10,55,314,ship,negative,lane-boundary
g069,schema drift,61,65,26,47,273,ship,baseline,monotonic-signal
g070,lineage depth,70,36,36,47,230,ship,edge,drag-penalty
g071,partition skew,34,24,42,95,140,watch,recovery,confidence-floor
g072,quality gap,108,56,26,37,432,ship,negative,lane-boundary
g073,schema drift,104,39,19,99,558,ship,baseline,monotonic-signal
g074,lineage depth,106,68,38,48,398,ship,edge,drag-penalty
g075,partition skew,66,50,7,27,333,ship,recovery,confidence-floor
g076,quality gap,50,44,35,64,197,ship,negative,lane-boundary
g077,schema drift,89,43,9,44,442,ship,baseline,monotonic-signal
g078,lineage depth,68,10,18,82,356,ship,edge,drag-penalty
g079,partition skew,61,31,45,74,198,ship,recovery,confidence-floor
g080,quality gap,61,44,39,20,133,watch,negative,lane-boundary
g081,schema drift,109,53,17,40,484,ship,baseline,monotonic-signal
g082,lineage depth,48,60,15,55,287,ship,edge,drag-penalty
g083,partition skew,65,74,29,24,237,ship,recovery,confidence-floor
g084,quality gap,33,76,37,99,221,ship,negative,lane-boundary
g085,schema drift,65,44,22,55,304,ship,baseline,monotonic-signal
g086,lineage depth,40,31,37,80,166,watch,edge,drag-penalty
g087,partition skew,31,62,4,54,274,ship,recovery,confidence-floor
g088,quality gap,30,45,10,46,207,ship,negative,lane-boundary
g089,schema drift,77,39,35,46,264,ship,baseline,monotonic-signal
g090,lineage depth,60,38,7,94,431,ship,edge,drag-penalty
g091,partition skew,55,40,37,36,147,watch,recovery,confidence-floor
g092,quality gap,100,44,11,98,585,ship,negative,lane-boundary
g093,schema drift,82,48,21,47,365,ship,baseline,monotonic-signal
g094,lineage depth,99,18,27,26,331,ship,edge,drag-penalty
g095,partition skew,89,40,11,63,467,ship,recovery,confidence-floor
g096,quality gap,87,54,4,43,468,ship,negative,lane-boundary
